id, text, originalSentiment, emoji
19,I dont hate but i make sure you see yourself wrong 😏 .,1,😏
20,RT sighbrattt Smh being sexually frustated aint no joke man 😔 I got blue clit 😭 😴 .,1,😔�
21,willthewordguy TalonNU AngelaLustyuk SarahUlrich maddimiller27 I promise the running clothes were for a clas ... httpstco1KAWGosITE .,1,
22,RT LucaWatches 💎 GRAND OPENING 💎 ALL watches are FREE today for our grand opening 🔥 Get yours here ⤵ httpstco4mRWuYKkye httpstc ... .,1,🔥️
23,RT HarryThighKink Stop 👏 comparing 👏 the 👏 boys 👏 to 👏 one 👏 another 👏 theyre 👏 all 👏 doing 👏 amazing 👏 in 👏 their 👏 own 👏 way 👏 Lo ... .,1,👏
24,RT Stan973 Sometimes I Make Sound Effects To Make My Girlfriend Walk Like Squidward 😂 httpstcoPSAOxWXBqX .,1,😂
25,All of my friends have been hitting my phone tonight 😭 I appreciate the love .,1,😭️
26,if Lebron goes any where hes going to OKC to break the Warriors up then back to the Cavs 😂 .,1,😂
27,RT yoursmaichard thank you mainedcm 😊 httpstcoQ0trsqxab1 .,1,😊
28,RT PabloPiqasso RT if you do n't got one of these on your phone amp he owes you money httpstcofTRn3g5cAq .,1,
29,one of my nose rings is missing and im like mildly concerned boos eaten it somehow he seems fine so im leaning toward no but 🙃 .,1,🙃
30,RT IndieDhaFlippa Please Do n't Scroll Past Without 😢 🤧 Retweeting My Cousin Is Missing He Was Last Seen 12817 Getting Into A Black H ... .,1,�
31,Kianaxbaby Forreal People used to be on my head like oh you 're burnt you 're hella dark yadayada now they call it chocolate mf BYE 😂 .,1,😂
32,RT Auria When Sam Smith said Every time you hurt me the less I cry 🤷🏽 every time you leave the quicker the tears dry ... .,1,
33,None of my gams work on bros hd 😂 Im not sure if its because of win7 and i have no idea the different settings .,1,😂
34,IAmMinas devking1 she gon long him up every argument what if her neck long 😂 .,1,😂
35,sounds natural 🙂 httpstcoiXoRCfQSow .,3,🙂
36,RT SoccerTweetsHQ Deadly Body Fake 🔥 httpstco2e743eMsBB .,1,🔥
37,RT Stan973 Sometimes I Make Sound Effects To Make My Girlfriend Walk Like Squidward 😂 httpstcoPSAOxWXBqX .,1,😂
38,RT chicagobulls BULLSWINThats now 3 in a row 🔥 httpstco7bwA0XqXIn .,1,🔥
39,RT chicagobulls BULLSWINThats now 3 in a row 🔥 httpstco7bwA0XqXIn .,1,🔥
40,RT chicagobulls BULLSWINThats now 3 in a row 🔥 httpstco7bwA0XqXIn .,1,🔥
41,RT PabloPiqasso RT if you do n't got one of these on your phone amp he owes you money httpstcofTRn3g5cAq .,1,
42,Toxiccccc 😂 .,2,😂
43,fxdedcreep Lol that was supposed to be bread not beard but beard is probably fattening too 😂 .,1,😂
44,RT LinManuel You Sirius black I crack my knuckles and ya witherinYou tough enough ya hufflepuff Dont huff amp puff wSlythe ... .,1,
45,attractiveee Lol it 's one person that just look like they do 😂 .,1,😂
46,After a full packed weekend Back to regular programming And it 's bed weather 😒 .,3,😒
47,RT IMoveOnToBetter hey guys if u have the time pls help out my lovely friend PugfatherJeff and donate at httpstcontXQjg4UuN ❤ .,3,❤
48,RT 1RealMir Shit is weird They wake up when they see the next nigga want her 😂 httpstcobBC0GVFr6o .,1,😂
49,RT chicagobulls BULLSWINThats now 3 in a row 🔥 httpstco7bwA0XqXIn .,1,🔥
50,RT TeamJuJu Let 's gooooooo boysssssss Suspended But Still Strapped Up Ready To Go 😂 RT for FreeJuJu TeamJuJu httpstcoSvrkPqakRY .,1,😂
51,Read PLEASE realDonaldTrump Come on I dare you to show some Heart ❤ Underprivileged grow into productive adult ... httpstco53SusIywlF .,1,❤
52,RT billboard Congrats to our female artist of the year ArianaGrande She leads the ladies in 17 following the sustained cha ... .,3,
53,SizeMeUpp Bye before you get me in trouble 😭 .,1,😭
54,Shep is very picky for someone who looks like he does 😂 RelationShep .,1,😂
55,Mfs BEYOND lame 😒 .,1,😒
56,RT KingKhail Out yall I ai n't do shit httpstcoVVLAk0ygbv .,1,
57,RT Jamesfilly13 Boogie cant hold harden 😂 .,1,😂
58,i hate being away from my girl 😭 .,2,😭
59,RT chicagobulls BULLSWINThats now 3 in a row 🔥 httpstco7bwA0XqXIn .,1,🔥
60,RT MyBlackMatters Love this so much ❤️ Keep doing your thing girl 👏🏾 ✊🏾 httpstcoSE1jKcnfmL .,2,❤️👏
61,RT WorIdStarComedy Never forget Shaun White saving his ass when he was 19 😂 httpstcoJNoCcNvooV .,1,😂
62,RT Stan973 Sometimes I Make Sound Effects To Make My Girlfriend Walk Like Squidward 😂 httpstcoPSAOxWXBqX .,1,😂
63,COOKIN 🔥 httpstcowDQfHJjMAb .,2,🔥
64,RT KherisPoppin I have been bullied for my dark complexion since the 1st grade I decided turned a negative into a positive situati ... .,1,
65,RT Stan973 Sometimes I Make Sound Effects To Make My Girlfriend Walk Like Squidward 😂 httpstcoPSAOxWXBqX .,1,😂
66,RT ltsGREYSquotes such an iconic derek shepherd quote 💕 httpstcoXxI5WRy0RY .,1,💕
67,RT KherisPoppin I have been bullied for my dark complexion since the 1st grade I decided turned a negative into a positive situati ... .,1,
68,RT BeccaJonesxx It 's chilly outside best put a jacket on 😘 SG xx httpstcoSIlAsurIkv .,1,😘
69,Can it be the weekend already so i can go home and see my family feeling so lonely 😭 .,3,😭
70,By the end of this year Ill be someone looks at calender Fuck Maybe someone could pick me up 😂 ObeyRC httpstco95ui0F72Ee .,1,😂
71,RT Ardynsama Im never going to get over this goddamn gif of Ignis running around on the battlefield only to FULL ON STOP becaus ... .,1,
72,Finished a grad Final today and tmrw I officially become a WELS Lutheran 🙂 .,1,🙂
73,Come back to the dark side 👀 httpstcoLdhKcdNWcQ .,1,�
74,RT favLlGHTSKlN bitch im beautiful as fuck like what 😭 .,3,😭
75,🙌 YASSS Its time for a great show 🍭 TorontoScope 🍭 Follow My Beam 💕 httpstcoNU9VHPzuyS httpstcoCs96BrJKrJ .,1,💕
76,I 'm weak 😂 😂 httpstcoZeovfKxBk2 .,1,😂
77,RT AntiLiberal73 Suectoo RyanEGraney joeyfingers2 PressSec POTUS The 3 black men that trump got released from china not one tim ... .,1,
78,RT MadeleineR evesteee This bitch talks hellaaa shit lmaoo ignore she has no life 😂 .,1,😂
79,Nall females sleep on they guys httpstcoBTmsDiMNXy .,1,
80,imnotsnooty MarchaGeorgios CanadianSyrup mrshutch123 savannah732699 AmazingLovelyGM CarelessWhisprs ... httpstcoDxSqxuNjus .,1,
81,RT BIackPplVids Never forget Shaun White saving his ass when he was 19 😂 httpstco5NrjimPn6i .,1,😂
82,RT RelatableQuote I ca n't stop laughing 😂 httpstcog3TK80Ywcl .,1,😂
83,RT Stan973 Sometimes I Make Sound Effects To Make My Girlfriend Walk Like Squidward 😂 httpstcoPSAOxWXBqX .,1,😂
84,Heres a better representation ☺️ It may not be that big of a deal but I reckon its pretty cool 🌚 The closest I ... httpstco1McNz01VuZ .,1,️
85,RT FascinatingVids Bad ass mount biking 🔥 httpstcoiIdSfM6qLM .,1,🔥
86,RT JinLoverEST SeokJins brother amp his girlfriend also went to BTStwt WingsTourFinalDay3 😭 Supportive Family ❤️ httpstcoNGqI9Qu7ke .,1,😭❤️
87,RT Stan973 Sometimes I Make Sound Effects To Make My Girlfriend Walk Like Squidward 😂 httpstcoPSAOxWXBqX .,1,😂
88,RT CommonWhiteGrls Why is this so funny 😂 httpstcojiscgdpOQq .,3,😂
89,Song 🔥 httpstcoJvrr69yiLq .,2,🔥
90,RT WorIdStarComedy Never forget Shaun White saving his ass when he was 19 😂 httpstcoJNoCcNvooV .,1,😂
91,fthemaga AndyEnderson ImpPercyPtible Herusaaset1 WambuiKibira1 vaniavega dianawheatley And they were also indentured servant 😂 .,1,😂
92,RT claflinconfess Shittt I agree wit you but I 'm just the messenger 😂 httpstcoUbWLQ6XpmW .,1,😂
93,RT MAGARoseTaylor Port Authority bombing ` suspect IDd as Akayed Ullah 'N eed I say more 😡 Let in the country 7 years ago my gues ... .,1,😡
94,RT 1Munder CALIFORNIA IS BURNING DOWN 🔥 CALI FIRESTORMS 🔥 httpstcoyvODwF0d4d via YouTube .,1,🔥
95,RT Stan973 Sometimes I Make Sound Effects To Make My Girlfriend Walk Like Squidward 😂 httpstcoPSAOxWXBqX .,1,😂
96,Trumperland ClintonM614 thebradfordfile Acosta Ha YOu are SO full of shit But very nice gaslighting 😘 httpstco8ylMXnfaTs .,3,😘
97,RT BleacherReport Bow down to the Point God 🔥 httpstco5Ye2qgzGN4 .,1,🔥
98,BLinsner Neither 🙃 .,2,🙃
99,RT KherisPoppin I have been bullied for my dark complexion since the 1st grade I decided turned a negative into a positive situati ... .,1,
100,byunbaeklovego hopefully you wont have too many of those idk how anyone can get used to these kinds of shifts 😔 .,1,😔
101,RT amnasayx Some impulses are worth surrendering to 💕 .,3,💕
102,RT Harrys1DEmpire Happy Festive Season to all my followers love from Harrys1DEmpire and 1DDrive 🔥 httpstcoSYTJ2vwFUn .,1,🔥
103,RT FreddyAmazin I just wan na hug this man 😭 httpstcoCBAvHhjKTY .,1,😭
104,RT Stan973 Sometimes I Make Sound Effects To Make My Girlfriend Walk Like Squidward 😂 httpstcoPSAOxWXBqX .,1,😂
105,The queens got moves swag smooth choreography catwalk angel werk 🔥 cc angelcandice httpstco1RSu6oadJW .,1,🔥
106,RT csgoupgradergg 🔥 DAILY GIVEAWAY 1124 🔥 AK47 PointDisarray ✅ RT ✅ Follow us ✅ Tag 1 FriendLets go 🔥 httpstcomzAzPmIJik .,1,🔥
107,RT ReneeCarrollPhx MondayMotivationMSM polls have Jones way ahead We all know they have FakePolls Hillarys 97 to 3 😂 These ... .,1,😂
108,RT wbkendon Every relationship I been in I got dragged on 😭 .,1,😭
109,RT RiceGum My dude got over 50K for getting bullied cause he ugly I been ugly my whole life amp the only thing I got was getti ... .,1,
110,🙌 YASSS Its time for a great show 🍭 TorontoScope 🍭 Follow My Beam 💕 httpstcoNU9VHPzuyS httpstcoXsMZntmHTE .,1,💕
111,RT KherisPoppin I have been bullied for my dark complexion since the 1st grade I decided turned a negative into a positive situati ... .,1,
112,PenzenikGeorge Niiiice slow clap 👏 👏 👏 .,1,👏
113,RT daiIyIaugh when you mess with the wrong guy 😂 httpstcobFc4G5W6AF .,1,😂
114,This is weird A 23 point win against the best team in the conference I mean Go Bulls but like damn they really ... httpstcoBD0f5ET6m3 .,1,
115,bubstv 😭 I wish Cumulative 356 now .,1,😭
116,RT Loyalluvies Yeri without you maybe till now red velvet would never know what redvelvetsmtowns password is Thankyou so mu ... .,1,
117,DonnieDementia krassenstein seanhannity Are you really trying to give an education lesson on Twitter Everyone k ... httpstcoSnrL4Yn8sJ .,1,
118,My point guard the truth RT BleacherReport Bow down to the Point God 🔥 httpstcoO2TlI1rxLO .,1,🔥
119,RT RappersSaid With My Team Creek Boyz 🔥 httpstcojvzXXFJ6yT .,2,🔥
120,Stop 😂 httpstcoBe9qvbkZXe .,2,😂
121,RT KherisPoppin I have been bullied for my dark complexion since the 1st grade I decided turned a negative into a positive situati ... .,1,
