id,text,emojis
940418865145802800,RT @_Stan973: Sometimes I Make Sound Effects To Make My Girlfriend Walk Like Squidward 😂 https://t.co/PSAOxWXBqX,😂
940418862016757800,"Here's a better representation ☺️It may not be that big of a deal, but I reckon it's pretty cool 🌚The closest I'… https://t.co/1McNz01VuZ",️
940418865410007000,RT @FascinatingVids: Bad ass mount biking 🔥 https://t.co/iIdSfM6qLM,🔥
940418864432549900,RT @JinLoverEST: SeokJin's brother &amp; his girlfriend also went to @BTS_twt #WingsTourFinalDay3 😭 Supportive Family ❤️ https://t.co/NGqI9Qu7ke,😭❤️
940418865632292900,RT @_Stan973: Sometimes I Make Sound Effects To Make My Girlfriend Walk Like Squidward 😂 https://t.co/PSAOxWXBqX,😂
940418865225330700,RT @CommonWhiteGrls: Why is this so funny 😂 https://t.co/jiscgdpOQq,😂
940418865628090400,Song 🔥 https://t.co/Jvrr69yiLq,🔥
940418865728839700,RT @WorIdStarComedy: Never forget Shaun White saving his ass when he was 19 😂 https://t.co/JNoCcNvooV,😂
940418865841913900,@fthemaga @Andy_Enderson @ImpPercyPtible @Herusaaset1 @WambuiKibira1 @vaniavega_ @diana_wheatley And they were also indentured servant 😂,😂
940418865938550800,RT @claflinconfess: Shittt I agree wit you but I’m just the messenger 😂 https://t.co/UbWLQ6XpmW,😂
940418866148249600,RT @MAGARoseTaylor: Port Authority bombing ‘suspect ID'd as Akayed Ullah’Need I say more? 😡Let in the country 7 years ago.. my gues… ,😡
940418866055856100,RT @1Munder: CALIFORNIA IS BURNING DOWN: 🔥 CALI FIRESTORMS 🔥: https://t.co/yvODwF0d4d via @YouTube,🔥
940418866328625200,RT @_Stan973: Sometimes I Make Sound Effects To Make My Girlfriend Walk Like Squidward 😂 https://t.co/PSAOxWXBqX,😂
940418863782432800,@Trumperland @ClintonM614 @thebradfordfile @Acosta Ha! YOu are SO full of shit. But very nice gaslighting! 😘 https://t.co/8ylMXnfaTs,😘
940418866215190500,RT @BleacherReport: Bow down to the Point God 🔥 https://t.co/5Ye2qgzGN4,🔥
940418866534015000,@BLinsner Neither 🙃,🙃
940418866810949600,RT @KherisPoppin: I have been bullied for my dark complexion since the 1st grade. I decided turned a negative into a positive situati… ,
940418866957733900,@byunbaeklove_go hopefully you won't have too many of those?? idk how anyone can get used to these kinds of shifts 😔,😔
940418867310026800,RT @amna_sayx: Some impulses are worth surrendering to 💕,💕
940418867813343200,RT @Harrys1DEmpire: Happy Festive Season to all my followers love from @Harrys1DEmpire and #1DDrive 🔥 https://t.co/SYTJ2vwFUn,🔥
940418867498696700,RT @FreddyAmazin: I just wanna hug this man 😭 https://t.co/CBAvHhjKTY,😭
940418868346064900,RT @_Stan973: Sometimes I Make Sound Effects To Make My Girlfriend Walk Like Squidward 😂 https://t.co/PSAOxWXBqX,😂
940418868211781600,The queen's got moves #swag #smooth #choreography #catwalk #angel #werk 🔥  cc: @angelcandice https://t.co/1RSu6oadJW,🔥
940418868174053400,RT @csgoupgradergg: 🔥DAILY GIVEAWAY (11/24) 🔥AK-47 | Point-Disarray✅RT✅Follow us ✅Tag 1 Friend!Let's go!🔥 https://t.co/mzAzPmIJik,🔥
940418868106764300,RT @ReneeCarrollPhx: #MondayMotivationMSM polls have Jones way ahead. We all know they have #FakePolls Hillary's 97% to 3% 😂These… ,😂
940418868341805000,RT @wb_kendon: Every relationship I been in I got dragged on 😭,😭
940418868484259800,RT @RiceGum: My dude got over $50K for getting bullied cause he ugly. I been ugly my whole life &amp; the only thing I got was getti… ,
940418868081844200,🙌 YASSS It's time for a great show 🍭TorontoScope🍭:Follow My Beam 💕https://t.co/NU9VHPzuyS https://t.co/XsMZntmHTE,💕
940418868748668900,RT @KherisPoppin: I have been bullied for my dark complexion since the 1st grade. I decided turned a negative into a positive situati… ,
940418868132003800,@PenzenikGeorge Niiiice. *slow clap* 👏 👏 👏,👏
940418868467548200,RT @daiIyIaugh: when you mess with the wrong guy😂 https://t.co/bFc4G5W6AF,😂
940418868161364000,"This is weird.. A 23 point win against the best team in the conference? I mean, Go Bulls but like damn. they really… https://t.co/BD0f5ET6m3",
940418869029691400,@bubs_tv 😭 I wish! Cumulative 3.56 now,😭
940418869146955800,"RT @Loyalluvies: Yeri, without you, maybe till now red velvet would never know what redvelvet.smtown's password is. Thankyou so mu… ",
940418869264552000,@DonnieDementia @krassenstein @seanhannity Are you really trying to give an education lesson on Twitter? Everyone k… https://t.co/SnrL4Yn8sJ,
940418869461647400,My point guard the truth RT @BleacherReport: Bow down to the Point God 🔥 https://t.co/O2TlI1rxLO,🔥
940418869604298800,"RT @RappersSaid: ""With My Team"" - Creek Boyz 🔥 https://t.co/jvzXXFJ6yT",🔥
940418868148875300,Stop 😂 https://t.co/Be9qvbkZXe,😂
940418869574950900,RT @KherisPoppin: I have been bullied for my dark complexion since the 1st grade. I decided turned a negative into a positive situati… ,
